test,grouping,cell_type,comparison,lfc_cut,genes_tested,n_padj_sig,n_sig,n_up,n_down
pseudobulk_corrected,combat_library,library,Drought vs Control,0.0,34558,0,0,0,0
pseudobulk_corrected,combat_library,library,HD vs Control,0.0,34558,26,26,15,11
pseudobulk_corrected,combat_library,library,Heat vs Control,0.0,34558,0,0,0,0
pseudobulk_corrected,combat_repblock,library,Drought vs Control,0.0,34558,0,0,0,0
pseudobulk_corrected,combat_repblock,library,HD vs Control,0.0,34558,57,57,28,29
pseudobulk_corrected,combat_repblock,library,Heat vs Control,0.0,34558,0,0,0,0
pseudobulk_corrected,leiden_combat_library,0,Drought vs Control,0.0,32363,0,0,0,0
pseudobulk_corrected,leiden_combat_library,0,HD vs Control,0.0,32363,490,490,477,13
pseudobulk_corrected,leiden_combat_library,0,Heat vs Control,0.0,32363,0,0,0,0
pseudobulk_corrected,leiden_combat_library,10,Drought vs Control,0.0,29076,21,21,20,1
pseudobulk_corrected,leiden_combat_library,10,HD vs Control,0.0,29076,3,3,1,2
pseudobulk_corrected,leiden_combat_library,10,Heat vs Control,0.0,29076,1,1,1,0
pseudobulk_corrected,leiden_combat_library,11,Drought vs Control,0.0,29686,0,0,0,0
pseudobulk_corrected,leiden_combat_library,11,HD vs Control,0.0,29686,1,1,0,1
pseudobulk_corrected,leiden_combat_library,11,Heat vs Control,0.0,29686,0,0,0,0
pseudobulk_corrected,leiden_combat_library,14,Drought vs Control,0.0,29911,0,0,0,0
pseudobulk_corrected,leiden_combat_library,14,HD vs Control,0.0,29911,1,1,1,0
pseudobulk_corrected,leiden_combat_library,14,Heat vs Control,0.0,29911,0,0,0,0
pseudobulk_corrected,leiden_combat_library,16,Drought vs Control,0.0,22946,4,4,4,0
pseudobulk_corrected,leiden_combat_library,16,HD vs Control,0.0,22946,36,36,34,2
pseudobulk_corrected,leiden_combat_library,17,Drought vs Control,0.0,29070,0,0,0,0
pseudobulk_corrected,leiden_combat_library,17,HD vs Control,0.0,29070,156,156,145,11
pseudobulk_corrected,leiden_combat_library,17,Heat vs Control,0.0,29070,0,0,0,0
pseudobulk_corrected,leiden_combat_library,18,Drought vs Control,0.0,29598,0,0,0,0
pseudobulk_corrected,leiden_combat_library,18,HD vs Control,0.0,29598,1,1,1,0
pseudobulk_corrected,leiden_combat_library,18,Heat vs Control,0.0,29598,0,0,0,0
pseudobulk_corrected,leiden_combat_library,19,Drought vs Control,0.0,27878,0,0,0,0
pseudobulk_corrected,leiden_combat_library,19,HD vs Control,0.0,27878,3,3,3,0
pseudobulk_corrected,leiden_combat_library,19,Heat vs Control,0.0,27878,0,0,0,0
pseudobulk_corrected,leiden_combat_library,1,Drought vs Control,0.0,29269,1,1,1,0
pseudobulk_corrected,leiden_combat_library,1,HD vs Control,0.0,29269,137,137,134,3
pseudobulk_corrected,leiden_combat_library,1,Heat vs Control,0.0,29269,0,0,0,0
pseudobulk_corrected,leiden_combat_library,2,Drought vs Control,0.0,33000,1,1,0,1
pseudobulk_corrected,leiden_combat_library,2,HD vs Control,0.0,33000,4,4,2,2
pseudobulk_corrected,leiden_combat_library,2,Heat vs Control,0.0,33000,1,1,0,1
pseudobulk_corrected,leiden_combat_library,3,Drought vs Control,0.0,29791,0,0,0,0
pseudobulk_corrected,leiden_combat_library,3,HD vs Control,0.0,29791,6,6,6,0
pseudobulk_corrected,leiden_combat_library,3,Heat vs Control,0.0,29791,3,3,3,0
pseudobulk_corrected,leiden_combat_library,4,Drought vs Control,0.0,31360,1,1,1,0
pseudobulk_corrected,leiden_combat_library,4,HD vs Control,0.0,31360,4,4,4,0
pseudobulk_corrected,leiden_combat_library,4,Heat vs Control,0.0,31360,0,0,0,0
pseudobulk_corrected,leiden_combat_library,5,Drought vs Control,0.0,31906,0,0,0,0
pseudobulk_corrected,leiden_combat_library,5,HD vs Control,0.0,31906,3,3,2,1
pseudobulk_corrected,leiden_combat_library,5,Heat vs Control,0.0,31906,0,0,0,0
pseudobulk_corrected,leiden_combat_library,6,Drought vs Control,0.0,32932,1,1,1,0
pseudobulk_corrected,leiden_combat_library,6,HD vs Control,0.0,32932,5,5,5,0
pseudobulk_corrected,leiden_combat_library,6,Heat vs Control,0.0,32932,0,0,0,0
pseudobulk_corrected,leiden_combat_library,7,Drought vs Control,0.0,26940,0,0,0,0
pseudobulk_corrected,leiden_combat_library,7,HD vs Control,0.0,26940,71,71,64,7
pseudobulk_corrected,leiden_combat_library,7,Heat vs Control,0.0,26940,0,0,0,0
pseudobulk_corrected,leiden_combat_library,8,Drought vs Control,0.0,32482,0,0,0,0
pseudobulk_corrected,leiden_combat_library,8,HD vs Control,0.0,32482,3,3,3,0
pseudobulk_corrected,leiden_combat_library,8,Heat vs Control,0.0,32482,0,0,0,0
pseudobulk_corrected,leiden_combat_library,9,Drought vs Control,0.0,32013,2,2,2,0
pseudobulk_corrected,leiden_combat_library,9,HD vs Control,0.0,32013,6,6,3,3
pseudobulk_corrected,leiden_combat_library,9,Heat vs Control,0.0,32013,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,0,Drought vs Control,0.0,31347,2,2,0,2
pseudobulk_corrected,leiden_combat_repblock,0,HD vs Control,0.0,31347,67,67,58,9
pseudobulk_corrected,leiden_combat_repblock,0,Heat vs Control,0.0,31347,1,1,0,1
pseudobulk_corrected,leiden_combat_repblock,11,Drought vs Control,0.0,27784,40,40,40,0
pseudobulk_corrected,leiden_combat_repblock,12,Drought vs Control,0.0,32902,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,12,HD vs Control,0.0,32902,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,12,Heat vs Control,0.0,32902,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,14,Drought vs Control,0.0,22866,5,5,5,0
pseudobulk_corrected,leiden_combat_repblock,14,HD vs Control,0.0,22866,99,99,98,1
pseudobulk_corrected,leiden_combat_repblock,15,Drought vs Control,0.0,31033,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,15,HD vs Control,0.0,31033,55,55,50,5
pseudobulk_corrected,leiden_combat_repblock,15,Heat vs Control,0.0,31033,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,17,Drought vs Control,0.0,29065,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,17,Heat vs Control,0.0,29065,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,18,Drought vs Control,0.0,29597,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,18,HD vs Control,0.0,29597,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,18,Heat vs Control,0.0,29597,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,19,Drought vs Control,0.0,28712,32,32,31,1
pseudobulk_corrected,leiden_combat_repblock,19,HD vs Control,0.0,28712,1,1,0,1
pseudobulk_corrected,leiden_combat_repblock,19,Heat vs Control,0.0,28712,1,1,0,1
pseudobulk_corrected,leiden_combat_repblock,1,Drought vs Control,0.0,29566,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,1,HD vs Control,0.0,29566,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,1,Heat vs Control,0.0,29566,4,4,4,0
pseudobulk_corrected,leiden_combat_repblock,4,Drought vs Control,0.0,26564,2,2,1,1
pseudobulk_corrected,leiden_combat_repblock,4,HD vs Control,0.0,26564,66,66,60,6
pseudobulk_corrected,leiden_combat_repblock,4,Heat vs Control,0.0,26564,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,5,Drought vs Control,0.0,29325,0,0,0,0
pseudobulk_corrected,leiden_combat_repblock,5,HD vs Control,0.0,29325,3,3,3,0
pseudobulk_corrected,leiden_combat_repblock,5,Heat vs Control,0.0,29325,2,2,2,0
pseudobulk_corrected,leiden_combat_repblock,6,Drought vs Control,0.0,28697,6,6,4,2
pseudobulk_corrected,leiden_combat_repblock,6,HD vs Control,0.0,28697,8,8,6,2
pseudobulk_corrected,leiden_combat_repblock,6,Heat vs Control,0.0,28697,2,2,2,0
pseudobulk_corrected,leiden_combat_repblock,7,Drought vs Control,0.0,31556,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,7,HD vs Control,0.0,31556,29,29,24,5
pseudobulk_corrected,leiden_combat_repblock,7,Heat vs Control,0.0,31556,5,5,4,1
pseudobulk_corrected,leiden_combat_repblock,8,Drought vs Control,0.0,30507,1,1,1,0
pseudobulk_corrected,leiden_combat_repblock,8,HD vs Control,0.0,30507,156,156,149,7
pseudobulk_corrected,leiden_combat_repblock,8,Heat vs Control,0.0,30507,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,0,Drought vs Control,0.0,31350,2,2,1,1
pseudobulk_corrected,leiden_harmony_library,0,HD vs Control,0.0,31350,147,147,141,6
pseudobulk_corrected,leiden_harmony_library,0,Heat vs Control,0.0,31350,4,4,2,2
pseudobulk_corrected,leiden_harmony_library,10,Drought vs Control,0.0,32387,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,10,HD vs Control,0.0,32387,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,10,Heat vs Control,0.0,32387,1,1,1,0
pseudobulk_corrected,leiden_harmony_library,11,Drought vs Control,0.0,28467,21,21,20,1
pseudobulk_corrected,leiden_harmony_library,11,HD vs Control,0.0,28467,278,278,269,9
pseudobulk_corrected,leiden_harmony_library,11,Heat vs Control,0.0,28467,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,12,Drought vs Control,0.0,32658,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,12,HD vs Control,0.0,32658,1,1,0,1
pseudobulk_corrected,leiden_harmony_library,12,Heat vs Control,0.0,32658,1,1,0,1
pseudobulk_corrected,leiden_harmony_library,13,Drought vs Control,0.0,32928,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,13,HD vs Control,0.0,32928,1,1,1,0
pseudobulk_corrected,leiden_harmony_library,13,Heat vs Control,0.0,32928,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,1,Drought vs Control,0.0,31053,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,1,HD vs Control,0.0,31053,171,171,167,4
pseudobulk_corrected,leiden_harmony_library,1,Heat vs Control,0.0,31053,1,1,1,0
pseudobulk_corrected,leiden_harmony_library,2,Drought vs Control,0.0,29939,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,2,HD vs Control,0.0,29939,2,2,2,0
pseudobulk_corrected,leiden_harmony_library,2,Heat vs Control,0.0,29939,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,3,Drought vs Control,0.0,33129,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,3,HD vs Control,0.0,33129,10,10,9,1
pseudobulk_corrected,leiden_harmony_library,3,Heat vs Control,0.0,33129,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,4,Drought vs Control,0.0,29734,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,4,HD vs Control,0.0,29734,2,2,2,0
pseudobulk_corrected,leiden_harmony_library,4,Heat vs Control,0.0,29734,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,5,Drought vs Control,0.0,29789,3,3,2,1
pseudobulk_corrected,leiden_harmony_library,5,HD vs Control,0.0,29789,6,6,5,1
pseudobulk_corrected,leiden_harmony_library,5,Heat vs Control,0.0,29789,1,1,1,0
pseudobulk_corrected,leiden_harmony_library,6,Drought vs Control,0.0,29319,33,33,32,1
pseudobulk_corrected,leiden_harmony_library,6,HD vs Control,0.0,29319,2,2,2,0
pseudobulk_corrected,leiden_harmony_library,6,Heat vs Control,0.0,29319,1,1,1,0
pseudobulk_corrected,leiden_harmony_library,7,Drought vs Control,0.0,31515,2,2,2,0
pseudobulk_corrected,leiden_harmony_library,7,HD vs Control,0.0,31515,6,6,4,2
pseudobulk_corrected,leiden_harmony_library,7,Heat vs Control,0.0,31515,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,8,Drought vs Control,0.0,30388,4,4,2,2
pseudobulk_corrected,leiden_harmony_library,8,HD vs Control,0.0,30388,2,2,1,1
pseudobulk_corrected,leiden_harmony_library,8,Heat vs Control,0.0,30388,0,0,0,0
pseudobulk_corrected,leiden_harmony_library,9,Drought vs Control,0.0,32440,2,2,2,0
pseudobulk_corrected,leiden_harmony_library,9,HD vs Control,0.0,32440,23,23,14,9
pseudobulk_corrected,leiden_harmony_library,9,Heat vs Control,0.0,32440,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,0,Drought vs Control,0.0,30990,1,1,0,1
pseudobulk_corrected,leiden_harmony_repblock,0,Heat vs Control,0.0,30990,2,2,2,0
pseudobulk_corrected,leiden_harmony_repblock,10,Drought vs Control,0.0,32227,4,4,4,0
pseudobulk_corrected,leiden_harmony_repblock,10,HD vs Control,0.0,32227,443,443,439,4
pseudobulk_corrected,leiden_harmony_repblock,10,Heat vs Control,0.0,32227,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,11,Drought vs Control,0.0,26563,1,1,0,1
pseudobulk_corrected,leiden_harmony_repblock,11,HD vs Control,0.0,26563,77,77,70,7
pseudobulk_corrected,leiden_harmony_repblock,11,Heat vs Control,0.0,26563,2,2,1,1
pseudobulk_corrected,leiden_harmony_repblock,13,Drought vs Control,0.0,28355,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,13,HD vs Control,0.0,28355,31,31,30,1
pseudobulk_corrected,leiden_harmony_repblock,13,Heat vs Control,0.0,28355,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,14,Drought vs Control,0.0,31582,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,14,HD vs Control,0.0,31582,7,7,7,0
pseudobulk_corrected,leiden_harmony_repblock,14,Heat vs Control,0.0,31582,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,15,Drought vs Control,0.0,32880,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,15,HD vs Control,0.0,32880,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,15,Heat vs Control,0.0,32880,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,16,Drought vs Control,0.0,28899,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,16,Heat vs Control,0.0,28899,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,17,Drought vs Control,0.0,21735,202,202,59,143
pseudobulk_corrected,leiden_harmony_repblock,17,HD vs Control,0.0,21735,183,183,47,136
pseudobulk_corrected,leiden_harmony_repblock,2,Drought vs Control,0.0,29532,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,2,HD vs Control,0.0,29532,3,3,2,1
pseudobulk_corrected,leiden_harmony_repblock,2,Heat vs Control,0.0,29532,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,3,Drought vs Control,0.0,29303,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,3,HD vs Control,0.0,29303,5,5,5,0
pseudobulk_corrected,leiden_harmony_repblock,3,Heat vs Control,0.0,29303,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,4,Drought vs Control,0.0,28957,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,4,HD vs Control,0.0,28957,1,1,1,0
pseudobulk_corrected,leiden_harmony_repblock,4,Heat vs Control,0.0,28957,3,3,3,0
pseudobulk_corrected,leiden_harmony_repblock,5,Drought vs Control,0.0,29200,2,2,2,0
pseudobulk_corrected,leiden_harmony_repblock,5,HD vs Control,0.0,29200,114,114,107,7
pseudobulk_corrected,leiden_harmony_repblock,5,Heat vs Control,0.0,29200,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,6,Drought vs Control,0.0,30727,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,6,Heat vs Control,0.0,30727,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,7,Drought vs Control,0.0,29020,1,1,0,1
pseudobulk_corrected,leiden_harmony_repblock,7,HD vs Control,0.0,29020,1,1,0,1
pseudobulk_corrected,leiden_harmony_repblock,7,Heat vs Control,0.0,29020,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,9,Drought vs Control,0.0,31486,0,0,0,0
pseudobulk_corrected,leiden_harmony_repblock,9,HD vs Control,0.0,31486,9,9,9,0
pseudobulk_corrected,leiden_harmony_repblock,9,Heat vs Control,0.0,31486,0,0,0,0
pseudobulk_corrected,leiden_theirs,0,Drought vs Control,0.0,32812,0,0,0,0
pseudobulk_corrected,leiden_theirs,0,HD vs Control,0.0,32812,499,499,475,24
pseudobulk_corrected,leiden_theirs,0,Heat vs Control,0.0,32812,1,1,0,1
pseudobulk_corrected,leiden_theirs,10,Drought vs Control,0.0,31002,7,7,4,3
pseudobulk_corrected,leiden_theirs,10,HD vs Control,0.0,31002,49,49,43,6
pseudobulk_corrected,leiden_theirs,11,Drought vs Control,0.0,31545,67,67,64,3
pseudobulk_corrected,leiden_theirs,11,HD vs Control,0.0,31545,1331,1331,1282,49
pseudobulk_corrected,leiden_theirs,11,Heat vs Control,0.0,31545,0,0,0,0
pseudobulk_corrected,leiden_theirs,12,Drought vs Control,0.0,27840,10,10,5,5
pseudobulk_corrected,leiden_theirs,12,HD vs Control,0.0,27840,130,130,117,13
pseudobulk_corrected,leiden_theirs,12,Heat vs Control,0.0,27840,6,6,0,6
pseudobulk_corrected,leiden_theirs,13,Drought vs Control,0.0,25250,4,4,0,4
pseudobulk_corrected,leiden_theirs,15,Drought vs Control,0.0,30985,6,6,4,2
pseudobulk_corrected,leiden_theirs,15,HD vs Control,0.0,30985,349,349,318,31
pseudobulk_corrected,leiden_theirs,15,Heat vs Control,0.0,30985,2,2,0,2
pseudobulk_corrected,leiden_theirs,16,Drought vs Control,0.0,28796,23,23,21,2
pseudobulk_corrected,leiden_theirs,16,HD vs Control,0.0,28796,2,2,1,1
pseudobulk_corrected,leiden_theirs,16,Heat vs Control,0.0,28796,1,1,1,0
pseudobulk_corrected,leiden_theirs,18,Drought vs Control,0.0,29286,22,22,2,20
pseudobulk_corrected,leiden_theirs,18,HD vs Control,0.0,29286,20,20,1,19
pseudobulk_corrected,leiden_theirs,18,Heat vs Control,0.0,29286,20,20,1,19
pseudobulk_corrected,leiden_theirs,19,Drought vs Control,0.0,30925,18,18,18,0
pseudobulk_corrected,leiden_theirs,19,HD vs Control,0.0,30925,280,280,265,15
pseudobulk_corrected,leiden_theirs,19,Heat vs Control,0.0,30925,0,0,0,0
pseudobulk_corrected,leiden_theirs,1,Drought vs Control,0.0,32390,35,35,34,1
pseudobulk_corrected,leiden_theirs,1,HD vs Control,0.0,32390,323,323,315,8
pseudobulk_corrected,leiden_theirs,1,Heat vs Control,0.0,32390,0,0,0,0
pseudobulk_corrected,leiden_theirs,2,HD vs Control,0.0,29147,52,52,49,3
pseudobulk_corrected,leiden_theirs,2,Heat vs Control,0.0,29147,0,0,0,0
pseudobulk_corrected,leiden_theirs,3,Drought vs Control,0.0,31094,0,0,0,0
pseudobulk_corrected,leiden_theirs,3,HD vs Control,0.0,31094,509,509,467,42
pseudobulk_corrected,leiden_theirs,3,Heat vs Control,0.0,31094,0,0,0,0
pseudobulk_corrected,leiden_theirs,4,Drought vs Control,0.0,26567,58,58,2,56
pseudobulk_corrected,leiden_theirs,5,Drought vs Control,0.0,29545,0,0,0,0
pseudobulk_corrected,leiden_theirs,5,HD vs Control,0.0,29545,0,0,0,0
pseudobulk_corrected,leiden_theirs,5,Heat vs Control,0.0,29545,1,1,0,1
pseudobulk_corrected,leiden_theirs,6,Drought vs Control,0.0,32810,0,0,0,0
pseudobulk_corrected,leiden_theirs,6,HD vs Control,0.0,32810,1,1,1,0
pseudobulk_corrected,leiden_theirs,6,Heat vs Control,0.0,32810,0,0,0,0
pseudobulk_corrected,leiden_theirs,7,Drought vs Control,0.0,29941,0,0,0,0
pseudobulk_corrected,leiden_theirs,7,HD vs Control,0.0,29941,2,2,2,0
pseudobulk_corrected,leiden_theirs,7,Heat vs Control,0.0,29941,0,0,0,0
pseudobulk_corrected,leiden_theirs,8,Drought vs Control,0.0,28647,2,2,2,0
pseudobulk_corrected,leiden_theirs,8,HD vs Control,0.0,28647,4,4,4,0
pseudobulk_corrected,leiden_theirs,8,Heat vs Control,0.0,28647,3,3,3,0
pseudobulk_corrected,leiden_theirs,9,Drought vs Control,0.0,31760,15,15,14,1
pseudobulk_corrected,leiden_theirs,9,HD vs Control,0.0,31760,406,406,389,17
pseudobulk_corrected,leiden_theirs,9,Heat vs Control,0.0,31760,0,0,0,0
pseudobulk_corrected,leiden_unintegrated,0,Drought vs Control,0.0,30921,1,1,1,0
pseudobulk_corrected,leiden_unintegrated,0,Heat vs Control,0.0,30921,0,0,0,0
pseudobulk_corrected,leiden_unintegrated,11,Drought vs Control,0.0,29537,0,0,0,0
pseudobulk_corrected,leiden_unintegrated,11,Heat vs Control,0.0,29537,0,0,0,0
pseudobulk_corrected,leiden_unintegrated,12,Drought vs Control,0.0,29076,6,6,5,1
pseudobulk_corrected,leiden_unintegrated,12,HD vs Control,0.0,29076,4,4,3,1
pseudobulk_corrected,leiden_unintegrated,12,Heat vs Control,0.0,29076,3,3,3,0
