Wm82.a4.v1 Gene,Corresponding Gene,Assembly
Glyma.01g008100,Glyma.01g008100,Glyma2.0
Glyma.01g008200,Glyma01g01160,Glyma 1.1
Glyma.01g008200,Glyma.01g008200,Glyma2.0
Glyma.01g008300,Glyma01g01165,Glyma 1.1
Glyma.01g008300,Glyma.01g008300,Glyma2.0
Glyma.01g008400,Glyma01g01170,Glyma 1.1
Glyma.01g008400,Glyma.01g008400,Glyma2.0
Glyma.01g008500,Glyma01g01180,Glyma 1.1
Glyma.01g008500,Glyma.01g008500,Glyma2.0
Glyma.01g008600,Glyma01g01190,Glyma 1.1
Glyma.01g008600,Glyma.01g008600,Glyma2.0
Glyma.01g008700,Glyma01g01210,Glyma 1.1
Glyma.01g008700,Glyma.01g008700,Glyma2.0
Glyma.01g008800,Glyma01g01220,Glyma 1.1
Glyma.01g008800,Glyma.01g008800,Glyma2.0
Glyma.01g008900,Glyma01g01230,Glyma 1.1
Glyma.01g008900,Glyma.01g008900,Glyma2.0
Glyma.01g009000,Glyma01g01240,Glyma 1.1
Glyma.01g009000,Glyma.01g009000,Glyma2.0
Glyma.01g009100,Glyma01g01251,Glyma 1.1
Glyma.01g009100,Glyma.01g009100,Glyma2.0
Glyma.01g009200,Glyma01g01260,Glyma 1.1
Glyma.01g009200,Glyma.01g009200,Glyma2.0
Glyma.01g009300,Glyma01g01270,Glyma 1.1
Glyma.01g009300,Glyma.01g009300,Glyma2.0
Glyma.01g009400,Glyma01g01280,Glyma 1.1
Glyma.01g009400,Glyma.01g009400,Glyma2.0
Glyma.01g009600,Glyma01g01300,Glyma 1.1
Glyma.01g009600,Glyma.01g009600,Glyma2.0
Glyma.01g009700,Glyma01g01310,Glyma 1.1
Glyma.01g009700,Glyma.01g009700,Glyma2.0
Glyma.01g009800,Glyma01g01330,Glyma 1.1
Glyma.01g009800,Glyma.01g009800,Glyma2.0
Glyma.01g009900,Glyma01g01340,Glyma 1.1
Glyma.01g009900,Glyma.01g009900,Glyma2.0
Glyma.01g010000,Glyma01g01350,Glyma 1.1
Glyma.01g010000,Glyma.01g010000,Glyma2.0
Glyma.01g010100,Glyma01g01360,Glyma 1.1
Glyma.01g010100,Glyma.01g010100,Glyma2.0
Glyma.01g010200,Glyma01g01370,Glyma 1.1
Glyma.01g010200,Glyma.01g010200,Glyma2.0
Glyma.01g010300,Glyma01g01380,Glyma 1.1
Glyma.01g010300,Glyma.01g010300,Glyma2.0
Glyma.01g010400,Glyma01g01390,Glyma 1.1
Glyma.01g010400,Glyma.01g010400,Glyma2.0
Glyma.01g010500,Glyma01g01400,Glyma 1.1
Glyma.01g010500,Glyma.01g010500,Glyma2.0
Glyma.01g010600,Glyma01g01410,Glyma 1.1
Glyma.01g010600,Glyma.01g010600,Glyma2.0
Glyma.01g010700,Glyma01g01420,Glyma 1.1
Glyma.01g010700,Glyma.01g010700,Glyma2.0
Glyma.01g010800,Glyma01g01431,Glyma 1.1
Glyma.01g010800,Glyma.01g010800,Glyma2.0
Glyma.01g010900,Glyma01g01440,Glyma 1.1
Glyma.01g010900,Glyma.01g010900,Glyma2.0
Glyma.01g011000,Glyma01g01450,Glyma 1.1
Glyma.01g011000,Glyma.01g011000,Glyma2.0
Glyma.01g011100,Glyma01g01460,Glyma 1.1
Glyma.01g011100,Glyma.01g011100,Glyma2.0
Glyma.01g011200,Glyma01g01470,Glyma 1.1
Glyma.01g011200,Glyma.01g011200,Glyma2.0
Glyma.01g011300,Glyma01g01480,Glyma 1.1
Glyma.01g011300,Glyma.01g011300,Glyma2.0
Glyma.01g011400,Glyma01g01491,Glyma 1.1
Glyma.01g011400,Glyma.01g011400,Glyma2.0
Glyma.01g011500,Glyma01g01500,Glyma 1.1
Glyma.01g011500,Glyma.01g011500,Glyma2.0
Glyma.01g011600,Glyma01g01510,Glyma 1.1
Glyma.01g011600,Glyma.01g011600,Glyma2.0
Glyma.01g011700,Glyma01g01521,Glyma 1.1
Glyma.01g011700,Glyma.01g011700,Glyma2.0
Glyma.01g011800,Glyma01g01530,Glyma 1.1
Glyma.01g011800,Glyma.01g011800,Glyma2.0
Glyma.01g011900,Glyma01g01550,Glyma 1.1
Glyma.01g011900,Glyma.01g011900,Glyma2.0
Glyma.01g012000,Glyma01g01560,Glyma 1.1
Glyma.01g012000,Glyma.01g012000,Glyma2.0
Glyma.01g012100,Glyma01g01570,Glyma 1.1
Glyma.01g012100,Glyma.01g012100,Glyma2.0
Glyma.01g012200,Glyma01g01580,Glyma 1.1
Glyma.01g012200,Glyma.01g012200,Glyma2.0
Glyma.01g012300,Glyma01g01590,Glyma 1.1
Glyma.01g012300,Glyma.01g012300,Glyma2.0
Glyma.01g012400,Glyma01g01601,Glyma 1.1
Glyma.01g012400,Glyma.01g012400,Glyma2.0
Glyma.01g012500,Glyma01g01610,Glyma 1.1
Glyma.01g012500,Glyma.01g012500,Glyma2.0
Glyma.01g012800,Glyma01g01630,Glyma 1.1
Glyma.01g012800,Glyma.01g012800,Glyma2.0
Glyma.01g013000,Glyma01g01651,Glyma 1.1
Glyma.01g013000,Glyma.01g013000,Glyma2.0
Glyma.01g013100,Glyma01g01680,Glyma 1.1
Glyma.01g013100,Glyma.01g013100,Glyma2.0
Glyma.01g013300,Glyma01g01700,Glyma 1.1
Glyma.01g013300,Glyma.01g013300,Glyma2.0
Glyma.01g013500,Glyma01g01730,Glyma 1.1
Glyma.01g013500,Glyma.01g013500,Glyma2.0
Glyma.01g013600,Glyma01g01740,Glyma 1.1
Glyma.01g013600,Glyma.01g013600,Glyma2.0
Glyma.01g013800,Glyma01g01750,Glyma 1.1
Glyma.01g013800,Glyma.01g013800,Glyma2.0
Glyma.01g013900,Glyma01g01770,Glyma 1.1
Glyma.01g013900,Glyma.01g013900,Glyma2.0
Glyma.01g014000,Glyma01g01780,Glyma 1.1
Glyma.01g014000,Glyma.01g014000,Glyma2.0
Glyma.01g014100,Glyma01g01790,Glyma 1.1
Glyma.01g014100,Glyma.01g014100,Glyma2.0
Glyma.01g014200,Glyma01g01805,Glyma 1.1
Glyma.01g014200,Glyma.01g014200,Glyma2.0
Glyma.01g014400,Glyma01g01830,Glyma 1.1
Glyma.01g014400,Glyma.01g014400,Glyma2.0
Glyma.01g014500,Glyma01g01840,Glyma 1.1
Glyma.01g014500,Glyma.01g014500,Glyma2.0
Glyma.01g014600,Glyma01g01850,Glyma 1.1
Glyma.01g014600,Glyma.01g014600,Glyma2.0
Glyma.01g014700,Glyma01g01860,Glyma 1.1
Glyma.01g014700,Glyma.01g014700,Glyma2.0
Glyma.01g014800,Glyma01g01875,Glyma 1.1
Glyma.01g014800,Glyma.01g014800,Glyma2.0
Glyma.01g014900,Glyma01g01890,Glyma 1.1
Glyma.01g014900,Glyma.01g014900,Glyma2.0
Glyma.01g015000,Glyma01g01900,Glyma 1.1
Glyma.01g015000,Glyma.01g015000,Glyma2.0
Glyma.01g015100,Glyma01g01910,Glyma 1.1
Glyma.01g015100,Glyma.01g015100,Glyma2.0
Glyma.01g015300,Glyma01g01930,Glyma 1.1
Glyma.01g015300,Glyma.01g015300,Glyma2.0
Glyma.01g015400,Glyma01g01940,Glyma 1.1
Glyma.01g015400,Glyma.01g015400,Glyma2.0
Glyma.01g015500,Glyma01g01950,Glyma 1.1
Glyma.01g015500,Glyma.01g015500,Glyma2.0
Glyma.01g015600,Glyma01g01960,Glyma 1.1
Glyma.01g015600,Glyma.01g015600,Glyma2.0
Glyma.01g015700,Glyma01g01970,Glyma 1.1
Glyma.01g015700,Glyma.01g015700,Glyma2.0
Glyma.01g015800,Glyma01g01980,Glyma 1.1
Glyma.01g015800,Glyma.01g015800,Glyma2.0
Glyma.01g015900,Glyma01g01990,Glyma 1.1
Glyma.01g015900,Glyma.01g015900,Glyma2.0
Glyma.01g016000,Glyma01g02020,Glyma 1.1
Glyma.01g016000,Glyma.01g016000,Glyma2.0
Glyma.01g016100,Glyma01g02031,Glyma 1.1
Glyma.01g016100,Glyma.01g016100,Glyma2.0
Glyma.01g016400,Glyma01g02050,Glyma 1.1
Glyma.01g016400,Glyma.01g016400,Glyma2.0
Glyma.01g016500,Glyma01g02060,Glyma 1.1
Glyma.01g016500,Glyma.01g016500,Glyma2.0
Glyma.01g016600,Glyma01g02070,Glyma 1.1
Glyma.01g016600,Glyma.01g016600,Glyma2.0
Glyma.01g016700,Glyma01g02080,Glyma 1.1
Glyma.01g016700,Glyma.01g016700,Glyma2.0
Glyma.01g016900,Glyma01g02100,Glyma 1.1
Glyma.01g016900,Glyma.01g016900,Glyma2.0
Glyma.01g017000,Glyma01g02110,Glyma 1.1
Glyma.01g017000,Glyma.01g017000,Glyma2.0
Glyma.01g017100,Glyma01g02120,Glyma 1.1
Glyma.01g017100,Glyma.01g017100,Glyma2.0
Glyma.01g017200,Glyma01g02130,Glyma 1.1
Glyma.01g017200,Glyma.01g017200,Glyma2.0
Glyma.01g017300,Glyma01g02140,Glyma 1.1
Glyma.01g017300,Glyma.01g017300,Glyma2.0
Glyma.01g017400,Glyma01g02150,Glyma 1.1
Glyma.01g017400,Glyma.01g017400,Glyma2.0
Glyma.01g017700,Glyma01g02180,Glyma 1.1
Glyma.01g017700,Glyma.01g017700,Glyma2.0
Glyma.01g017800,Glyma01g02190,Glyma 1.1
Glyma.01g017800,Glyma.01g017800,Glyma2.0
Glyma.01g017900,Glyma01g02200,Glyma 1.1
Glyma.01g017900,Glyma.01g017900,Glyma2.0
Glyma.01g018000,Glyma01g02215,Glyma 1.1
Glyma.01g018000,Glyma.01g018000,Glyma2.0
Glyma.01g018300,Glyma01g02240,Glyma 1.1
Glyma.01g018300,Glyma.01g018300,Glyma2.0
Glyma.01g018400,Glyma01g02251,Glyma 1.1
Glyma.01g018400,Glyma.01g018400,Glyma2.0
Glyma.01g018600,Glyma01g02270,Glyma 1.1
Glyma.01g018600,Glyma.01g018600,Glyma2.0
Glyma.01g018700,Glyma01g02280,Glyma 1.1
Glyma.01g018700,Glyma.01g018700,Glyma2.0
Glyma.01g018800,Glyma01g02290,Glyma 1.1
Glyma.01g018800,Glyma.01g018800,Glyma2.0
Glyma.01g018900,Glyma01g02295,Glyma 1.1
Glyma.01g018900,Glyma.01g018900,Glyma2.0
Glyma.01g019000,Glyma01g02300,Glyma 1.1
Glyma.01g019000,Glyma.01g019000,Glyma2.0
Glyma.01g019100,Glyma01g02321,Glyma 1.1
Glyma.01g019100,Glyma.01g019100,Glyma2.0
Glyma.01g019200,Glyma01g02330,Glyma 1.1
Glyma.01g019200,Glyma.01g019200,Glyma2.0
Glyma.01g019300,Glyma01g02340,Glyma 1.1
Glyma.01g019300,Glyma.01g019300,Glyma2.0
Glyma.01g019400,Glyma01g02350,Glyma 1.1
Glyma.01g019400,Glyma.01g019400,Glyma2.0
Glyma.01g019500,Glyma01g02360,Glyma 1.1
Glyma.01g019500,Glyma.01g019500,Glyma2.0
Glyma.01g019600,Glyma01g02380,Glyma 1.1
Glyma.01g019600,Glyma.01g019600,Glyma2.0
Glyma.01g019700,Glyma01g02390,Glyma 1.1
Glyma.01g019700,Glyma.01g019700,Glyma2.0
Glyma.01g019800,Glyma01g02400,Glyma 1.1
Glyma.01g019800,Glyma.01g019800,Glyma2.0
Glyma.01g019900,Glyma01g02420,Glyma 1.1
Glyma.01g019900,Glyma.01g019900,Glyma2.0
Glyma.01g020000,Glyma01g02435,Glyma 1.1
Glyma.01g020000,Glyma.01g020000,Glyma2.0
Glyma.01g020100,Glyma01g02451,Glyma 1.1
Glyma.01g020100,Glyma.01g020100,Glyma2.0
Glyma.01g020200,Glyma01g02465,Glyma 1.1
Glyma.01g020200,Glyma.01g020200,Glyma2.0
Glyma.01g020300,Glyma01g02480,Glyma 1.1
Glyma.01g020300,Glyma.01g020300,Glyma2.0
Glyma.01g020400,Glyma01g02510,Glyma 1.1
Glyma.01g020400,Glyma.01g020400,Glyma2.0
Glyma.01g020500,Glyma01g02525,Glyma 1.1
Glyma.01g020500,Glyma.01g020500,Glyma2.0
Glyma.01g020600,Glyma01g02540,Glyma 1.1
Glyma.01g020600,Glyma.01g020600,Glyma2.0
Glyma.01g020700,Glyma01g02550,Glyma 1.1
Glyma.01g020700,Glyma.01g020700,Glyma2.0
Glyma.01g020800,Glyma01g02560,Glyma 1.1
Glyma.01g020800,Glyma.01g020800,Glyma2.0
Glyma.01g020900,Glyma01g02570,Glyma 1.1
Glyma.01g020900,Glyma.01g020900,Glyma2.0
Glyma.01g021000,Glyma01g02580,Glyma 1.1
Glyma.01g021000,Glyma.01g021000,Glyma2.0
Glyma.01g021100,Glyma01g02610,Glyma 1.1
Glyma.01g021100,Glyma.01g021100,Glyma2.0
Glyma.01g021200,Glyma01g02620,Glyma 1.1
Glyma.01g021200,Glyma.01g021200,Glyma2.0
Glyma.01g021400,Glyma01g02640,Glyma 1.1
Glyma.01g021400,Glyma.01g021400,Glyma2.0
Glyma.01g021600,Glyma01g02660,Glyma 1.1
Glyma.01g021600,Glyma.01g021600,Glyma2.0
Glyma.01g021700,Glyma01g02670,Glyma 1.1
Glyma.01g021700,Glyma.01g021700,Glyma2.0
Glyma.01g021900,Glyma01g02691,Glyma 1.1
Glyma.01g021900,Glyma.01g021900,Glyma2.0
Glyma.01g022100,Glyma01g02720,Glyma 1.1
Glyma.01g022100,Glyma.01g022100,Glyma2.0
Glyma.01g022300,Glyma01g02740,Glyma 1.1
Glyma.01g022300,Glyma.01g022300,Glyma2.0
Glyma.01g022400,Glyma01g02750,Glyma 1.1
Glyma.01g022400,Glyma.01g022400,Glyma2.0
Glyma.01g022500,Glyma01g02760,Glyma 1.1
Glyma.01g022500,Glyma.01g022500,Glyma2.0
Glyma.01g022600,Glyma01g02780,Glyma 1.1
Glyma.01g022600,Glyma.01g022600,Glyma2.0
Glyma.01g022700,Glyma01g02790,Glyma 1.1
Glyma.01g022700,Glyma.01g022700,Glyma2.0
Glyma.01g022800,Glyma01g02800,Glyma 1.1
Glyma.01g022800,Glyma.01g022800,Glyma2.0
Glyma.01g022900,Glyma01g02810,Glyma 1.1
Glyma.01g022900,Glyma.01g022900,Glyma2.0
Glyma.01g023000,Glyma01g02820,Glyma 1.1
Glyma.01g023000,Glyma.01g023000,Glyma2.0
Glyma.01g023100,Glyma01g02830,Glyma 1.1
Glyma.01g023100,Glyma.01g023100,Glyma2.0
Glyma.01g023200,Glyma01g02840,Glyma 1.1
Glyma.01g023200,Glyma.01g023200,Glyma2.0
Glyma.01g023300,Glyma01g02850,Glyma 1.1
Glyma.01g023300,Glyma.01g023300,Glyma2.0
Glyma.01g023500,Glyma01g02880,Glyma 1.1
Glyma.01g023500,Glyma.01g023500,Glyma2.0
Glyma.01g023600,Glyma01g02890,Glyma 1.1
Glyma.01g023600,Glyma.01g023600,Glyma2.0
Glyma.01g023700,Glyma01g02900,Glyma 1.1
Glyma.01g023700,Glyma.01g023700,Glyma2.0
Glyma.01g023900,Glyma01g02941,Glyma 1.1
Glyma.01g023900,Glyma.01g023900,Glyma2.0
Glyma.01g024000,Glyma01g02950,Glyma 1.1
Glyma.01g024000,Glyma.01g024000,Glyma2.0
Glyma.01g024100,Glyma01g02963,Glyma 1.1
Glyma.01g024100,Glyma.01g024100,Glyma2.0
Glyma.01g024300,Glyma01g02990,Glyma 1.1
Glyma.01g024300,Glyma.01g024300,Glyma2.0
Glyma.01g024500,Glyma01g03005,Glyma 1.1
Glyma.01g024500,Glyma.01g024500,Glyma2.0
Glyma.01g024600,Glyma01g03020,Glyma 1.1
Glyma.01g024600,Glyma.01g024600,Glyma2.0
Glyma.01g024700,Glyma01g03030,Glyma 1.1
Glyma.01g024700,Glyma.01g024700,Glyma2.0
Glyma.01g024800,Glyma01g03040,Glyma 1.1
Glyma.01g024800,Glyma.01g024800,Glyma2.0
Glyma.01g025000,Glyma01g03060,Glyma 1.1
Glyma.01g025000,Glyma.01g025000,Glyma2.0
Glyma.01g025100,Glyma01g03070,Glyma 1.1
Glyma.01g025100,Glyma.01g025100,Glyma2.0
Glyma.01g025200,Glyma01g03090,Glyma 1.1
Glyma.01g025200,Glyma.01g025200,Glyma2.0
Glyma.01g025300,Glyma01g03100,Glyma 1.1
Glyma.01g025300,Glyma.01g025300,Glyma2.0
Glyma.01g025400,Glyma01g03110,Glyma 1.1
Glyma.01g025400,Glyma.01g025400,Glyma2.0
Glyma.01g025500,Glyma01g03120,Glyma 1.1
Glyma.01g025500,Glyma.01g025500,Glyma2.0
Glyma.01g025600,Glyma01g03130,Glyma 1.1
Glyma.01g025600,Glyma.01g025600,Glyma2.0
Glyma.01g025700,Glyma01g03140,Glyma 1.1
Glyma.01g025700,Glyma.01g025700,Glyma2.0
Glyma.01g025800,Glyma01g03150,Glyma 1.1
Glyma.01g025800,Glyma.01g025800,Glyma2.0
Glyma.01g026000,Glyma01g03160,Glyma 1.1
Glyma.01g026000,Glyma.01g026000,Glyma2.0
Glyma.01g026100,Glyma01g03180,Glyma 1.1
Glyma.01g026100,Glyma.01g026100,Glyma2.0
Glyma.01g026200,Glyma01g03190,Glyma 1.1
Glyma.01g026200,Glyma.01g026200,Glyma2.0
Glyma.01g026400,Glyma01g03210,Glyma 1.1
Glyma.01g026400,Glyma.01g026400,Glyma2.0
Glyma.01g026500,Glyma01g03220,Glyma 1.1
Glyma.01g026500,Glyma.01g026500,Glyma2.0
Glyma.01g026600,Glyma01g03240,Glyma 1.1
Glyma.01g026600,Glyma.01g026600,Glyma2.0
Glyma.01g026700,Glyma01g03260,Glyma 1.1
Glyma.01g026700,Glyma.01g026700,Glyma2.0
Glyma.01g026800,Glyma01g03270,Glyma 1.1
Glyma.01g026800,Glyma.01g026800,Glyma2.0
Glyma.01g027000,Glyma01g03310,Glyma 1.1
Glyma.01g027000,Glyma.01g027000,Glyma2.0
Glyma.01g027100,Glyma01g03321,Glyma 1.1
Glyma.01g027100,Glyma.01g027100,Glyma2.0
Glyma.01g027300,Glyma01g03330,Glyma 1.1
Glyma.01g027300,Glyma.01g027300,Glyma2.0
Glyma.01g027400,Glyma01g03340,Glyma 1.1
Glyma.01g027400,Glyma.01g027400,Glyma2.0
Glyma.01g027500,Glyma01g03360,Glyma 1.1
Glyma.01g027500,Glyma.01g027500,Glyma2.0
Glyma.01g027600,Glyma01g03371,Glyma 1.1
Glyma.01g027600,Glyma.01g027600,Glyma2.0
Glyma.01g027700,Glyma01g03380,Glyma 1.1
Glyma.01g027700,Glyma.01g027700,Glyma2.0
Glyma.01g027800,Glyma01g03390,Glyma 1.1
Glyma.01g027800,Glyma.01g027800,Glyma2.0
Glyma.01g027900,Glyma01g03400,Glyma 1.1
Glyma.01g027900,Glyma.01g027900,Glyma2.0
Glyma.01g028100,Glyma01g03420,Glyma 1.1
Glyma.01g028100,Glyma.01g028100,Glyma2.0
Glyma.01g028200,Glyma01g03430,Glyma 1.1
Glyma.01g028200,Glyma.01g028200,Glyma2.0
Glyma.01g028300,Glyma01g03450,Glyma 1.1
Glyma.01g028300,Glyma.01g028300,Glyma2.0
Glyma.01g028500,Glyma01g03470,Glyma 1.1
Glyma.01g028500,Glyma.01g028500,Glyma2.0
Glyma.01g028600,Glyma01g03480,Glyma 1.1
Glyma.01g028600,Glyma.01g028600,Glyma2.0
Glyma.01g028700,Glyma01g03490,Glyma 1.1
Glyma.01g028700,Glyma.01g028700,Glyma2.0
Glyma.01g028800,Glyma01g03500,Glyma 1.1
Glyma.01g028800,Glyma.01g028800,Glyma2.0
Glyma.01g028900,Glyma01g03530,Glyma 1.1
Glyma.01g028900,Glyma.01g028900,Glyma2.0
Glyma.01g029000,Glyma01g03540,Glyma 1.1
Glyma.01g029000,Glyma.01g029000,Glyma2.0
Glyma.01g029100,Glyma01g03550,Glyma 1.1
Glyma.01g029100,Glyma.01g029100,Glyma2.0
Glyma.01g029200,Glyma01g03570,Glyma 1.1
Glyma.01g029200,Glyma.01g029200,Glyma2.0
Glyma.01g029300,Glyma01g03580,Glyma 1.1
Glyma.01g029300,Glyma.01g029300,Glyma2.0
Glyma.01g029500,Glyma01g03600,Glyma 1.1
Glyma.01g029500,Glyma.01g029500,Glyma2.0
Glyma.01g029600,Glyma01g03610,Glyma 1.1
Glyma.01g029600,Glyma.01g029600,Glyma2.0
Glyma.01g029700,Glyma01g03621,Glyma 1.1
Glyma.01g029700,Glyma.01g029700,Glyma2.0
Glyma.01g029800,Glyma01g03650,Glyma 1.1
Glyma.01g029800,Glyma.01g029800,Glyma2.0
Glyma.01g030000,Glyma01g03670,Glyma 1.1
